mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2208714485168457,0.04496113329315369,0.02415021260579427,0.021383953116965122,0.8,0.01,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.4043365143610467,0.34715406765983925,0.31913535791680714,0.3568753133125644,0.0354559466346565,104
0.1969877084096273,0.0348955765418137,0.009394248326619467,0.00023892232870633938,0.8,0.01,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.3947470503025675,0.351536110939374,0.3225452248591941,0.35627612870037856,0.029666217887464968,105
0.3470289707183838,0.076984119730433,0.02102065086364746,0.011510488823968566,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.5741404430007324,0.5064098867149384,0.4720672492425675,0.5175391929860794,0.04240778477713429,90
0.3778471151987712,0.08863380115917241,0.008638620376586914,0.00022470222742974216,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.5661010073251176,0.5072203725673603,0.46538807689762307,0.512903152263367,0.04131177457358735,93
0.8104399045308431,0.15739168524387437,0.021949927012125652,0.01320936646435029,0.8,0.01,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.6802601067247234,0.6279300088140924,0.5920113192014929,0.6334004782467696,0.03623448313131624,58
0.5686741669972738,0.022931763407843433,0.011007865269978842,0.002846190371583008,0.8,0.01,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.6779080043186365,0.6336533949504526,0.5802162843993408,0.6305925612228099,0.03994116141299795,59
0.4350016911824544,0.08869569922234703,0.008786360422770182,0.0005852984094847428,0.8,0.01,5,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.41489349095310557,0.3742421056332179,0.3123842678598807,0.3671732881487347,0.042146659339864154,102
0.5773963133494059,0.0475673475637337,0.017586310704549152,0.007538011414656577,0.8,0.01,5,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.4181910280234349,0.39933147147701553,0.30769965188067083,0.3750740504603738,0.04825904340994479,97
0.726743221282959,0.014273382107481941,0.008864164352416992,0.0001862233784073296,0.8,0.01,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.5846658023385306,0.5399889766114874,0.46998810403830715,0.531547627662775,0.04719594545378317,86
0.9695583979288737,0.1350900378084678,0.01975282033284505,0.007948258032955048,0.8,0.01,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.5870672903191305,0.5596405506520636,0.45645105285601695,0.5343862979424037,0.056234528729821286,85
1.742747704188029,0.25745605504007846,0.016079187393188477,0.008480161334136744,0.8,0.01,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.6847298901957468,0.6467370047126488,0.5891826496903578,0.6402165148662512,0.03927854701085902,52
1.4758497873942058,0.06825381846125635,0.009070078531901041,0.00011723413247733129,0.8,0.01,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.6785791975096089,0.6449608167301382,0.5802375030954632,0.6345925057784034,0.04081175173121261,56
0.9438924789428711,0.09957929598165152,0.019537607828776043,0.010662861574752899,0.8,0.01,7,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",0.4179373622750485,0.3771959666358784,0.312011450897408,0.3690482599361116,0.04362616583844307,100
0.8130170504252116,0.0645849434614138,0.011390129725138346,0.003153317194996304,0.8,0.01,7,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 1.0}",0.4209638642999183,0.3669327197509292,0.3030343010983816,0.3636436283830764,0.048200685062530474,103
1.5848191579182942,0.3271584666232222,0.009446938832600912,0.00013930411269704785,0.8,0.01,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.5855745165019488,0.5362408930717657,0.464387773175872,0.5287343942498621,0.04975819753513006,87
1.9022431373596191,0.19786743649214616,0.013711849848429361,0.0042748670650722105,0.8,0.01,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.5801339712995006,0.5196652208982595,0.4464577664746672,0.5154189862241424,0.05465561767878006,91
2.9354641437530518,0.5349184522677359,0.010352532068888346,0.00021705863949858373,0.8,0.01,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.6818334973288213,0.6388669089356143,0.5813331663192202,0.6340111908612185,0.04117250402694624,57
3.0004380544026694,0.16458536113928943,0.011271397272745768,0.0005135342980893047,0.8,0.01,7,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.6698536042559484,0.6156268638229017,0.5581327836916511,0.6145377505901671,0.04561633525113029,79
0.15433772404988608,0.01474227748071221,0.008249680201212565,3.6299353727916254e-05,0.8,0.1,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.7001454686895571,0.7001647694968003,0.6599047001254634,0.6867383127706069,0.01897423110119782,1
0.19995482762654623,0.04150781828256687,0.010025660196940104,0.001587971052150508,0.8,0.1,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.6853143799259442,0.6930415535061114,0.6576929224236111,0.678682951951889,0.015173734051159793,4
0.3046834468841553,0.023687769096313326,0.010313987731933594,0.0005768943698941313,0.8,0.1,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6815190257546494,0.6964866787353042,0.6698212255367584,0.6826089766755707,0.010913373854388406,2
0.32794467608133954,0.04980856160951275,0.011612017949422201,0.0025694796562385014,0.8,0.1,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6729368170615626,0.678927546956116,0.6664751914437447,0.6727798518204744,0.005084864338852684,15
