mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.616861899693807,0.15530913389151388,0.009538809458414713,0.00027306032667403563,0.8,0.01,3,50,35.57142857142857,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 0.8}",0.9048192771084338,0.9783132530120482,0.9653614457831325,0.9494979919678714,0.03203204644042123,10
1.6827327410380046,0.23290238192656273,0.023247639338175457,0.014351739340489347,0.8,0.01,3,50,35.57142857142857,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 1.0}",0.8234939759036144,0.9674698795180723,0.9721385542168675,0.9210341365461847,0.06899763925669056,44
1.1707382202148438,0.7709140196313754,0.015381495157877604,0.00397680025554757,0.8,0.01,3,100,35.57142857142857,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 0.8}",0.8987951807228917,0.9734939759036145,0.9698795180722891,0.9473895582329318,0.034393082836958425,12
0.15088701248168945,0.013143855435054986,0.009834607442220053,0.0013652537946868097,0.8,0.01,3,100,35.57142857142857,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 1.0}",0.8198795180722892,0.9692771084337349,0.9548192771084338,0.9146586345381525,0.06727836655862465,47
0.33106231689453125,0.027048360276669833,0.011759281158447266,0.00077314612690693,0.8,0.01,3,200,35.57142857142857,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 0.8}",0.8867469879518073,0.9674698795180723,0.9698795180722892,0.9413654618473896,0.03863361970704011,18
0.49494139353434247,0.1614738335339423,0.023798068364461262,0.015790746797702957,0.8,0.01,3,200,35.57142857142857,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 1.0}",0.8783132530120482,0.9674698795180723,0.950301204819277,0.9320281124497992,0.038623442286097626,34
0.22294378280639648,0.0757783677915498,0.018567403157552082,0.00850069165544193,0.8,0.01,5,50,35.57142857142857,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 0.8}",0.9120481927710844,0.9674698795180723,0.9653614457831325,0.9482931726907631,0.025643521602113476,11
0.17473594347635904,0.02311282992374494,0.012553691864013672,0.00037536550222306685,0.8,0.01,5,50,35.57142857142857,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 1.0}",0.8337349397590361,0.9638554216867471,0.9751506024096386,0.9242469879518073,0.06416758490041832,43
0.4528309504191081,0.11642911888841685,0.030476490656534832,0.02331015787101114,0.8,0.01,5,100,35.57142857142857,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 0.8}",0.9024096385542169,0.963855421686747,0.963855421686747,0.9433734939759036,0.028965819952220022,15
0.3546140193939209,0.11725091915216043,0.013561646143595377,0.0003540408239500956,0.8,0.01,5,100,35.57142857142857,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 1.0}",0.8307228915662651,0.9650602409638555,0.9774096385542169,0.9243975903614459,0.06642960585455393,42
0.7648068269093832,0.35741027448859086,0.015030622482299805,0.0008755129094827001,0.8,0.01,5,200,35.57142857142857,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 0.8}",0.8951807228915662,0.9650602409638553,0.9668674698795181,0.9423694779116465,0.03337564450660859,17
0.7828959623972574,0.30856006319273144,0.01548465092976888,0.0006837880409966405,0.8,0.01,5,200,35.57142857142857,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': np.float64(35.57142857142857), 'subsample': 1.0}",0.8981927710843374,0.9614457831325302,0.9608433734939759,0.9401606425702811,0.0296767855642383,19
